nuclide,energy_keV,half_life
Pa-234,876.0,6.70 (5) h
Pa-234,880.52,6.70 (5) h
Pa-234,880.52,6.70 (5) h
Pa-234,883.24,6.70 (5) h
Pa-234,898.67,6.70 (5) h
Pa-234,925.0,6.70 (5) h
Pa-234,926.0,6.70 (5) h
Pa-234,926.7,6.70 (5) h
Pa-234,946.0,6.70 (5) h
Pa-234,947.7,6.70 (5) h
Pa-234,980.3,6.70 (5) h
Pa-234,980.3,6.70 (5) h
Pa-234,984.2,6.70 (5) h
Pa-234,1352.9,6.70 (5) h
Pa-234,1393.9,6.70 (5) h
Th-234,63.3,24.10 (3) d
Th-234,92.38,24.10 (3) d
Th-234,92.8,24.10 (3) d
U-235,109.19,704 (1) 106 a
U-235,143.767,704 (1) 106 a
U-235,163.356,704 (1) 106 a
U-235,185.72,704 (1) 106 a
U-235,202.12,704 (1) 106 a
U-235,205.316,704 (1) 106 a
Np-236,104.234,1.55 (8) 105 a
Np-236,158.35,1.55 (8) 105 a
Np-236,160.307,1.55 (8) 105 a
Np-236m,642.35,22.5 (4) h
Np-237,29.374,2.144 (7) 106 a
Np-237,86.477,2.144 (7) 106 a
U-237,26.34463,6.749 (16) d
U-237,59.54091,6.749 (16) d
U-237,64.83,6.749 (16) d
U-237,164.61,6.749 (16) d
U-237,208.0,6.749 (16) d
U-237,332.376,6.749 (16) d
Np-238,923.99,2.102 (5) d
Np-238,984.45,2.102 (5) d
Np-238,1025.87,2.102 (5) d
Np-238,1028.54,2.102 (5) d
Np-239,61.46,2.356 (3) d
Np-239,106.125,2.356 (3) d
Np-239,209.753,2.356 (3) d
Np-239,228.183,2.356 (3) d
Np-239,277.599,2.356 (3) d
Np-239,315.88,2.356 (3) d
Np-239,334.31,2.356 (3) d
U-239,43.533,23.46 (5) min
U-239,74.664,23.46 (5) min
Am-241,26.3446,432.6 (6) a
Am-241,59.5409,432.6 (6) a
Am-243,43.53,7367 (23) a
Am-243,74.66,7367 (23) a
Cm-243,209.753,28.9 (4) a
Cm-243,228.183,28.9 (4) a
Cm-243,277.599,28.9 (4) a
Am-244,99.383,10.1 (1) h
Am-244,153.863,10.1 (1) h
Am-244,743.977,10.1 (1) h
Am-244,897.84,10.1 (1) h
Cm-245,133.081,8250 (70) a
Cm-245,175.0523,8250 (70) a
