nuclide,half_life,energy_keV,intensity_percent,icc_T
Ce-144,284.91 (5) d,133.515,11.1,0.580 (6)
Pr-144,17.29 (3) min,696.51,1.34,5 10−4
Nd-147,10.987 (11) d,91.105,28.4,2.03 (3)
Nd-147,10.987 (11) d,319.411,1.991,6.07 (9) 10−2
Nd-147,10.987 (11) d,439.895,1.203,2.48 (4) 10−2
Nd-147,10.987 (11) d,531.016,12.7,1.61 (3) 10−2
Eu-152,13.522 (16) a,121.7817,28.41,1.165 (35)
Eu-152,13.522 (16) a,244.6974,7.55,0.1080 (32)
Eu-152,13.522 (16) a,344.2785,26.59,3.99 (12) 10−2
Eu-152,13.522 (16) a,411.1165,2.238,2.39 (7) 10−2
Eu-152,13.522 (16) a,443.965,2.8,6.00 (18) 10−3
Eu-152,13.522 (16) a,778.9045,12.97,1.90 (6) 10−3
Eu-152,13.522 (16) a,867.38,4.243,3.5 (1) 10−3
Eu-152,13.522 (16) a,964.079,14.5,2.70 (8) 10−3
Eu-152,13.522 (16) a,1085.837,10.13,2.10 (6) 10−3
Eu-152,13.522 (16) a,1089.737,1.73,2.30 (7) 10−3
Eu-152,13.522 (16) a,1112.076,13.41,2.00 (6) 10−3
Eu-152,13.522 (16) a,1212.948,1.416,7.00 (21) 10−4
Eu-152,13.522 (16) a,1299.142,1.633,7.00 (21) 10−4
Eu-152,13.522 (16) a,1408.013,20.85,6.00 (18) 10−4
Gd-153,240.4 (10) d,69.673,2.42,5.31 (8)
Gd-153,240.4 (10) d,97.431,29.0,0.305 (5)
Gd-153,240.4 (10) d,103.18012,21.1,1.694 (24)
Sm-153,1.92855 (5) d,69.673,4.691,5.28 (16)
Sm-153,1.92855 (5) d,103.18012,29.19,1.69 (5)
Eu-154,8.601 (4) a,123.0706,40.4,1.197 (19)
Eu-154,8.601 (4) a,247.9288,6.89,0.110 (2)
Eu-154,8.601 (4) a,591.755,4.95,3.29 (10) 10−3
Eu-154,8.601 (4) a,692.4205,1.79,4.9 (6) 10−2
Eu-154,8.601 (4) a,723.3014,20.05,2.15 (5) 10−3
Eu-154,8.601 (4) a,756.802,4.53,5.1 (12) 10−3
Eu-154,8.601 (4) a,873.1834,12.17,3.73 (8) 10−3
Eu-154,8.601 (4) a,996.25,10.5,2.79 (6) 10−3
Eu-154,8.601 (4) a,1004.718,17.86,2.76 (6) 10−3
Eu-154,8.601 (4) a,1274.429,34.9,7.37 (15) 10−4
Eu-154,8.601 (4) a,1596.4804,1.783,4.9 (1) 10−4
Eu-155,4.753 (14) a,45.299,1.31,0.443 (11)
Eu-155,4.753 (14) a,60.0086,1.22,9.48 (11)
Eu-155,4.753 (14) a,86.5479,30.7,0.432 (7)
Eu-155,4.753 (14) a,105.3083,21.1,0.255 (3)
Gd-159,18.479 (7) h,58.0,2.49,11.1 (3)
Gd-159,18.479 (7) h,363.543,11.78,1.04 (3) 10−2
Ho-166,26.795 (29) h,80.5725,6.55,6.90 (14)
Ho-166m,1132.6 (39) a⁎⁎⁎,80.5725,12.66,6.90 (14)
Ho-166m,1132.6 (39) a⁎⁎⁎,184.4107,72.5,0.334 (7)
Ho-166m,1132.6 (39) a⁎⁎⁎,215.871,2.66,0.197 (4)
Ho-166m,1132.6 (39) a⁎⁎⁎,259.736,1.078,0.1087 (22)
Ho-166m,1132.6 (39) a⁎⁎⁎,280.463,29.54,8.55 (17) 10−2
Ho-166m,1132.6 (39) a⁎⁎⁎,300.741,3.73,6.91 (14) 10−2
Ho-166m,1132.6 (39) a⁎⁎⁎,365.768,2.46,3.88 (8) 10−2
Ho-166m,1132.6 (39) a⁎⁎⁎,410.956,11.35,8.78 (26) 10−3
Ho-166m,1132.6 (39) a⁎⁎⁎,451.54,2.915,7.07 (21) 10−3
Ho-166m,1132.6 (39) a⁎⁎⁎,464.798,1.25,2.01 (6) 10−2
Ho-166m,1132.6 (39) a⁎⁎⁎,529.825,9.4,1.44 (3) 10−2
Ho-166m,1132.6 (39) a⁎⁎⁎,570.995,5.43,4.21 (13) 10−3
Ho-166m,1132.6 (39) a⁎⁎⁎,611.579,1.31,3.64 (11) 10−3
Ho-166m,1132.6 (39) a⁎⁎⁎,670.526,5.34,8.16 (24) 10−3
Ho-166m,1132.6 (39) a⁎⁎⁎,691.253,1.32,7.58 (23) 10−3
Ho-166m,1132.6 (39) a⁎⁎⁎,711.697,54.9,2.66 (8) 10−3
Ho-166m,1132.6 (39) a⁎⁎⁎,752.28,12.2,2.38 (7) 10−3
Ho-166m,1132.6 (39) a⁎⁎⁎,778.827,3.01,5.79 (17) 10−3
Ho-166m,1132.6 (39) a⁎⁎⁎,810.286,57.3,5.3 (1) 10−3
Ho-166m,1132.6 (39) a⁎⁎⁎,830.565,9.72,5.03 (15) 10−3
Ho-166m,1132.6 (39) a⁎⁎⁎,950.988,2.744,3.76 (11) 10−3
Yb-169,32.018 (5) d,63.12044,44.05,1.11 (4)
Yb-169,32.018 (5) d,93.61447,2.571,3.89 (12)
Yb-169,32.018 (5) d,109.77924,17.36,2.45 (4)
Yb-169,32.018 (5) d,118.1894,1.87,1.66 (5)
Yb-169,32.018 (5) d,130.52293,11.38,1.15 (4)
Yb-169,32.018 (5) d,177.21307,22.32,0.590 (9)
Yb-169,32.018 (5) d,197.95675,35.93,0.448 (7)
Yb-169,32.018 (5) d,261.07712,1.687,2.83 (9) 10−2
Yb-169,32.018 (5) d,307.73757,10.046,6.66 (20) 10−2
Tm-170,127.8 (6) d,84.25474,2.48,6.39 (10)
Lu-176,37.6 (7) 109 a,88.36,14.8,5.77 (8)
Lu-176,37.6 (7) 109 a,201.83,78.2,0.279 (4)
Lu-176,37.6 (7) 109 a,306.84,93.11,7.41 (11) 10−2
Lu-177,6.647 (4) d,112.9498,6.22,2.272 (5)
Lu-177,6.647 (4) d,208.3662,10.37,6.8 (5) 10−2
Ta-178,9.31 (3) min,93.13,6.6,4.67 (5)
Ta-178,9.31 (3) min,511.0,2.2,<NA>
Ta-178,9.31 (3) min,1340.85,1.0,0.00232
Ta-178,9.31 (3) min,1350.55,1.2,0.00229
Ta-182,114.61 (13) d,65.72215,2.97,2.92 (20)
Ta-182,114.61 (13) d,67.7497,43.6,0.22 (3)
Ta-182,114.61 (13) d,84.68024,2.62,7.66 (11)
Ta-182,114.61 (13) d,100.10595,14.22,3.89 (6)
Ta-182,114.61 (13) d,113.6717,1.869,3.19 (5)
Ta-182,114.61 (13) d,152.42991,7.01,0.1258 (18)
Ta-182,114.61 (13) d,156.3864,2.662,0.1177 (17)
Ta-182,114.61 (13) d,179.39381,3.099,0.63 (7)
Ta-182,114.61 (13) d,198.35187,1.461,0.317 (5)
Ta-182,114.61 (13) d,222.1085,7.54,4.80 (7) 10−2
Ta-182,114.61 (13) d,229.3207,3.634,0.196 (3)
Ta-182,114.61 (13) d,264.074,3.602,0.1254 (18)
Ta-182,114.61 (13) d,1001.6856,2.07,4.55 (8) 10−3
Ta-182,114.61 (13) d,1121.29,35.17,3.60 (5) 10−3
Ta-182,114.61 (13) d,1189.04,16.58,4.567 (41) 10−3
Ta-182,114.61 (13) d,1221.395,27.27,3.05 (5) 10−3
Ta-182,114.61 (13) d,1231.004,11.62,3.01 (5) 10−3
Ta-182,114.61 (13) d,1257.407,1.511,2.89 (4) 10−3
Ta-182,114.61 (13) d,1289.145,1.374,1.231 (18) 10−2
Re-186,3.7186 (17) d,137.157,9.42,1.290 (39)
Re-188,17.005 (4) h,155.041,15.2,0.820 (25)
Re-188,17.005 (4) h,477.992,1.02,2.60 (8) 10−2
Re-188,17.005 (4) h,632.981,1.28,1.32 (4) 10−2
Ir-192,73.827 (13) d,205.7943,3.34,0.305 (9)
Ir-192,73.827 (13) d,295.9565,28.72,0.106 (3)
Ir-192,73.827 (13) d,308.45507,29.68,9.6 (3) 10−2
Ir-192,73.827 (13) d,316.50618,82.75,8.49 (25) 10−2
Ir-192,73.827 (13) d,468.0688,47.81,2.95 (9) 10−2
Ir-192,73.827 (13) d,484.5751,3.189,2.63 (8) 10−2
Ir-192,73.827 (13) d,588.581,4.517,1.70 (5) 10−2
Ir-192,73.827 (13) d,604.41105,8.2,2.66 (8) 10−2
Ir-192,73.827 (13) d,612.4621,5.34,1.55 (5) 10−2
Ir-194,19.3 (1) h,293.541,2.5,0.107 (3)
Ir-194,19.3 (1) h,328.448,13.1,7.6 (2) 10−2
Ir-194,19.3 (1) h,645.146,1.18,1.38 (4) 10−2
Au-195,184.7 (14) d,98.882,11.21,6.86 (10)
Au-198,2.6944 (8) d,411.80205,95.54,4.47 (5) 10−2
Tl-201,3.0421 (17) d,135.312,2.604,3.45 (10)
Tl-201,3.0421 (17) d,167.45,10.0,1.89 (8)
Hg-203,46.594 (12) d,279.1952,81.61,0.2261 (8)
Pb-203,51.929 (10) h,279.1952,80.94,0.2261 (8)
Pb-203,51.929 (10) h,401.32,3.43,0.1784 (25)
Hg-206,8.32 (7) min,304.896,26.0,0.375 (6)
Hg-206,8.32 (7) min,649.42,2.2,5.01 (7) 10−2
